datetime,open,high,low,close,volume
2021-04-15,281.5,285.19,280.87,283.72,88048600
2021-04-16,285.71,289.3,284.08,288.5,63499000
2021-04-19,287.86,289.25,286.04,287.72,51327720
2021-04-20,288.9,290.92,286.59,287.42,63197880
2021-04-21,288.01,290.2,287.06,289.25,49792800
2021-04-22,289.04,294.67,286.93,292.18,73632070
2021-04-23,293.1,294.2,290.78,293.19,42651330
2021-04-26,294.3,296.48,293.1,295.27,45760050
2021-04-27,295.74,300.25,295.61,298.5,62853160
2021-04-28,299.0,299.26,295.89,298.49,40622520
2021-04-29,301.0,301.84,294.79,297.1,57082260
2021-04-30,296.92,298.1,295.03,297.73,35679650
2021-05-04,298.7,304.23,298.2,303.7,60457530
2021-05-05,304.01,306.03,302.71,305.99,41715270
2021-05-06,306.29,314.98,306.25,314.72,62565270
2021-05-07,316.0,319.16,315.48,317.94,56433970
2021-05-10,318.26,320.19,314.31,320.19,59248110
2021-05-11,303.0,309.48,301.0,307.16,79945470
2021-05-12,307.39,309.24,302.0,302.02,56142830
2021-05-13,302.11,306.86,299.33,306.74,57721460
2021-05-14,308.2,308.24,302.33,304.1,26858430
2021-05-17,303.5,305.24,301.01,303.94,28384220
2021-05-18,305.01,306.62,303.33,305.78,35496400
2021-05-19,304.38,304.88,295.1,297.0,71747950
2021-05-20,297.94,298.37,293.0,296.72,58510610
2021-05-21,296.85,302.98,294.9,301.23,51415080
2021-05-24,302.02,304.75,299.59,300.7,30831530
2021-05-25,301.77,307.4,301.57,306.8,37547680
2021-05-26,307.84,309.5,305.33,307.01,35358520
2021-05-27,306.39,313.9,305.72,312.72,70753690
2021-05-28,313.3,314.0,309.06,309.56,35484140
2021-05-31,309.3,312.6,308.82,310.79,23683010
2021-06-01,312.6,314.17,310.03,311.6,37655890
2021-06-02,311.6,314.0,310.61,313.98,27008780
2021-06-03,314.81,315.71,309.87,312.41,34546320
2021-06-04,313.0,313.0,307.6,310.94,37126650
2021-06-07,310.03,316.0,308.57,315.53,40197440
2021-06-08,315.29,316.18,312.5,314.83,34944620
2021-06-09,315.0,315.9,312.9,314.78,25152290
2021-06-10,314.87,316.58,313.76,314.62,29211800
2021-06-11,314.88,315.08,312.5,313.0,21924900
2021-06-14,313.48,314.87,310.4,314.12,25517710
2021-06-15,314.14,315.6,312.4,312.51,29741250
2021-06-16,312.5,314.54,311.03,311.61,38253860
2021-06-17,311.0,315.42,310.46,313.9,44322800
2021-06-18,312.9,313.82,308.13,309.3,62462450
2021-06-21,308.47,310.4,306.56,310.4,36129780
2021-06-22,310.79,311.17,308.13,309.73,23538080
2021-06-23,310.45,312.0,308.69,309.79,24831290
2021-06-24,309.8,311.2,308.84,310.0,19725240
2021-06-25,310.58,312.5,309.82,311.81,22598640
2021-06-28,311.77,312.06,309.13,309.48,19460180
2021-06-29,308.7,309.23,303.66,306.1,33944770
2021-06-30,306.19,306.91,303.34,306.45,31549580
2021-07-01,306.0,307.35,305.0,305.78,19989790
2021-07-02,305.52,308.37,304.71,307.39,28908330
2021-07-05,307.81,308.11,304.8,307.0,16509700
2021-07-06,307.32,307.59,302.37,303.34,32694440
2021-07-07,303.98,306.2,302.85,304.06,22676030
2021-07-08,303.0,304.3,300.62,302.63,30771300
2021-07-09,302.7,304.1,301.22,303.56,20527240
2021-07-12,303.55,306.27,301.52,306.23,25302270
2021-07-13,306.81,307.22,302.11,303.0,21270580
2021-07-14,302.7,303.69,300.74,301.5,23974320
2021-07-15,301.13,303.5,299.77,301.72,21111670
2021-07-16,302.05,304.78,298.57,298.85,34533280
2021-07-19,298.0,298.36,290.03,291.46,41320510
2021-07-20,292.33,296.8,292.3,296.1,35594130
2021-07-21,296.0,296.94,293.54,294.86,17541560
2021-07-22,295.77,298.17,294.43,297.27,20344800
2021-07-23,297.49,298.69,295.04,296.38,14967220
2021-07-26,294.0,303.68,291.98,303.34,34024050
2021-07-27,302.66,304.59,299.38,299.71,38608790
2021-07-28,300.43,302.98,300.0,302.9,27009120
2021-07-29,304.13,305.27,303.03,303.12,28037210
